item_id,model,feature_set,order,seasonal_order,MAE,RMSE,MAPE,AIC,converged
FOODS_2_197,"Calendar SARIMAX (1, 1, 1)(0, 1, 1, 7) - FOODS_2_197",snap_weekday_month_event,"(1, 1, 1)","(0, 1, 1, 7)",6.4765891006058975,8.757503035545964,31.560517580790865,13737.43829329812,False
FOODS_2_197,"SARIMAX (1, 1, 1)(0, 1, 1, 7) - FOODS_2_197",snap_only,"(1, 1, 1)","(0, 1, 1, 7)",8.092792982712448,10.779481579213554,36.68427320982195,13714.036197347803,True
FOODS_3_080,"Calendar SARIMAX (0, 1, 1)(0, 1, 1, 7) - FOODS_3_080",snap_weekday_month_event,"(0, 1, 1)","(0, 1, 1, 7)",4.87876922195101,6.0870106811057,32.36184087383304,12135.683685935306,False
FOODS_3_080,"SARIMAX (1, 1, 1)(0, 1, 1, 7) - FOODS_3_080",snap_only,"(1, 1, 1)","(0, 1, 1, 7)",4.863147886709568,6.130503560255182,32.687441464212306,12070.480101208244,True
FOODS_3_090,"Calendar SARIMAX (1, 1, 1)(0, 1, 1, 7) - FOODS_3_090",snap_weekday_month_event,"(1, 1, 1)","(0, 1, 1, 7)",16.19667350675943,19.93893860206647,46.725858809689875,18683.78633666892,True
FOODS_3_090,"SARIMAX (1, 1, 1)(1, 1, 1, 7) - FOODS_3_090",snap_only,"(1, 1, 1)","(1, 1, 1, 7)",17.31862131446079,21.150637666454383,49.57092743351774,18635.331106015372,True
FOODS_3_120,"Calendar SARIMAX (1, 1, 1)(1, 1, 1, 7) - FOODS_3_120",snap_weekday_month_event,"(1, 1, 1)","(1, 1, 1, 7)",23.66796913992513,28.567025101370966,123.39181256011062,16612.69784555037,False
FOODS_3_120,"SARIMAX (1, 1, 1)(1, 1, 1, 7) - FOODS_3_120",snap_only,"(1, 1, 1)","(1, 1, 1, 7)",21.74579979042542,29.352469291598947,143.95454402466802,16583.293108285623,True
FOODS_3_252,"SARIMAX (1, 1, 1)(1, 1, 1, 7) - FOODS_3_252",snap_only,"(1, 1, 1)","(1, 1, 1, 7)",6.231376161724785,8.044694145266023,17.82067099032468,14396.46881374174,True
FOODS_3_252,"Calendar SARIMAX (0, 1, 1)(1, 1, 1, 7) - FOODS_3_252",snap_weekday_month_event,"(0, 1, 1)","(1, 1, 1, 7)",7.071234544788707,8.946985581939096,19.55734490684874,14550.080827944112,False
FOODS_3_555,"Calendar SARIMAX (0, 1, 1)(0, 1, 1, 7) - FOODS_3_555",snap_weekday_month_event,"(0, 1, 1)","(0, 1, 1, 7)",3.190506769994812,4.091788275208339,17.71280125414512,12132.355102849164,False
FOODS_3_555,"SARIMAX (0, 1, 1)(1, 1, 1, 7) - FOODS_3_555",snap_only,"(0, 1, 1)","(1, 1, 1, 7)",3.1837820982474945,4.03255377470727,18.022814966968653,12103.504785233112,True
FOODS_3_586,"Calendar SARIMAX (1, 1, 1)(0, 1, 1, 7) - FOODS_3_586",snap_weekday_month_event,"(1, 1, 1)","(0, 1, 1, 7)",6.132142388993726,7.393704707044563,16.223469625143537,14244.177116455437,False
FOODS_3_586,"SARIMAX (1, 1, 1)(0, 1, 1, 7) - FOODS_3_586",snap_only,"(1, 1, 1)","(0, 1, 1, 7)",6.303738186261304,7.420562701113853,17.461577620196806,14235.381792645934,True
FOODS_3_587,"SARIMAX (1, 1, 1)(1, 1, 1, 7) - FOODS_3_587",snap_only,"(1, 1, 1)","(1, 1, 1, 7)",17.25023425954204,18.213568320879286,92.44644942662819,14086.41595968767,True
FOODS_3_587,"Calendar SARIMAX (1, 1, 1)(1, 1, 1, 7) - FOODS_3_587",snap_weekday_month_event,"(1, 1, 1)","(1, 1, 1, 7)",19.426600515198032,20.36397524130335,103.44037147751158,14113.553200153905,False
FOODS_3_714,"Calendar SARIMAX (1, 1, 1)(0, 1, 1, 7) - FOODS_3_714",snap_weekday_month_event,"(1, 1, 1)","(0, 1, 1, 7)",4.240796558412704,5.306643938260756,30.00494449856089,13647.053428907227,False
FOODS_3_714,"SARIMAX (1, 1, 1)(1, 1, 1, 7) - FOODS_3_714",snap_only,"(1, 1, 1)","(1, 1, 1, 7)",4.483581697475266,5.360554469475719,36.286553225298675,13602.348736151383,True
FOODS_3_808,"Calendar SARIMAX (1, 1, 1)(1, 1, 1, 7) - FOODS_3_808",snap_weekday_month_event,"(1, 1, 1)","(1, 1, 1, 7)",5.529596049059018,6.249874968283716,79.12121661187331,14984.848623620781,False
FOODS_3_808,"SARIMAX (1, 1, 1)(1, 1, 1, 7) - FOODS_3_808",snap_only,"(1, 1, 1)","(1, 1, 1, 7)",3.2535662958382354,4.415247304577977,99.20856042558852,14966.368114142839,True
